,gi,tax_names,count
140,296100371,Enterobacter cloacae subsp. cloacae ATCC 13047,10
141,94967031,Candidatus Koribacter versatilis Ellin345,10
142,237653092,Thauera sp. MZ1T,10
143,378715556,Gordonia polyisoprenivorans VH2,10
144,386836097,Streptomyces hygroscopicus subsp. jinggangensis 5008,10
145,150392480,Staphylococcus aureus subsp. aureus JH1,10
146,340616011,Zobellia galactanivorans,10
147,227812678,Bacillus anthracis str. CDC 684,10
148,378982542,Salmonella enterica subsp. enterica serovar Typhimurium str. T000240,10
149,220905643,Cyanothece sp. PCC 7425,10
150,428205073,Chroococcidiopsis thermalis PCC 7203,10
151,83309099,Magnetospirillum magneticum AMB-1,10
152,78045556,Xanthomonas campestris pv. vesicatoria str. 85-10,10
153,384173661,Bacillus subtilis subsp. subtilis str. RO-NN-1,10
154,192288433,Rhodopseudomonas palustris TIE-1,10
155,387869382,Erwinia pyrifoliae DSM 12163,10
156,42779081,Bacillus cereus ATCC 10987,10
157,213155370,Acinetobacter baumannii AB0057,10
158,255961261,Pseudomonas fluorescens Pf0-1,10
159,436833391,Fibrella aestuarina BUZ 2,10
160,337264537,Mesorhizobium opportunistum WSM2075,10
161,123440403,Yersinia enterocolitica subsp. enterocolitica 8081,10
162,395443650,Pseudomonas putida ND6,10
163,218703261,Escherichia coli UMN026,10
164,283777802,Pirellula staleyi DSM 6068,10
165,331693899,Pseudonocardia dioxanivorans CB1190,10
166,57596592,Bacillus halodurans C-125,10
167,336176139,Frankia symbiont of Datisca glomerata,10
168,397671778,,10
169,392981410,Pseudomonas aeruginosa DK2,10
170,117918459,Shewanella sp. ANA-3,10
171,217971216,Shewanella baltica OS223,10
172,427715354,Calothrix sp. PCC 7507,10
173,333981747,Methylomonas methanica MC09,9
174,261403876,Paenibacillus sp. Y412MC10,9
175,296131550,Thermincola potens JR,9
176,386056071,Pseudomonas aeruginosa M18,9
177,383320909,Synechocystis sp. PCC 6803 substr. GT-I,9
178,82542618,Shigella boydii Sb227,9
179,378696079,Haemophilus influenzae 10810,9
180,384129960,Acinetobacter baumannii 1656-2,9
181,218777860,Desulfatibacillum alkenivorans AK-01,9
182,427705465,Nostoc sp. PCC 7107,9
183,253771435,Escherichia coli 'BL21-Gold(DE3)pLysS AG',9
184,390955930,Terriglobus roseus DSM 18391,9
185,153002879,Anaeromyxobacter sp. Fw109-5,9
186,251794036,Paenibacillus sp. JDR-2,9
187,337744364,Paenibacillus mucilaginosus KNP414,9
188,336122587,Vibrio anguillarum 775,9
189,357386972,Kitasatospora setae KM-6054,9
190,121607004,Verminephrobacter eiseniae EF01-2,9
191,170018061,Escherichia coli ATCC 8739,9
192,217957581,Bacillus cereus AH187,9
193,378947941,Pseudomonas fluorescens F113,9
194,378448274,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,9
195,111017022,Rhodococcus jostii RHA1,9
196,225871699,Acidobacterium capsulatum ATCC 51196,9
197,386622414,Escherichia coli O7:K1 str. CE10,9
198,119714272,Nocardioides sp. JS614,9
199,302336548,Spirochaeta smaragdinae DSM 11293,9
200,397662556,Legionella pneumophila subsp. pneumophila,9
201,186474773,Burkholderia phymatum STM815,9
202,392391692,Desulfitobacterium dehalogenans ATCC 51507,9
203,219853343,Clostridium kluyveri NBRC 12016,9
204,86607503,Synechococcus sp. JA-2-3B'a(2-13),9
205,320105246,Terriglobus saanensis SP1PR4,9
206,163845603,Chloroflexus aurantiacus J-10-fl,9
207,338173994,Parachlamydia acanthamoebae UV-7,9
208,187927112,Ralstonia pickettii 12J,9
209,410480139,Escherichia coli O104:H4 str. 2009EL-2050,9
210,45439865,Yersinia pestis biovar Microtus str. 91001,9
211,152973854,Bacillus cytotoxicus NVH 391-98,9
212,294505815,Salinibacter ruber M8,9
213,332668532,Cellulomonas fimi ATCC 484,9
214,226303489,Rhodococcus erythropolis PR4,9
215,84621657,Xanthomonas oryzae pv. oryzae MAFF 311018,9
216,116668568,Arthrobacter sp. FB24,9
217,113473942,Trichodesmium erythraeum IMS101,9
218,407703236,Bacillus thuringiensis MC28,9
219,159896533,Herpetosiphon aurantiacus DSM 785,9
220,197283915,Proteus mirabilis HI4320,9
221,384534464,Sinorhizobium meliloti SM11,9
222,392423459,Desulfosporosinus acidiphilus SJ4,9
223,183980035,Mycobacterium marinum M,9
224,386077236,Pantoea ananatis PA13,9
225,386353647,Streptomyces cattleya NRRL 8057 = DSM 46488,9
226,400756305,Geobacter sulfurreducens PCA,9
227,345297184,Enterobacter asburiae LF7a,9
228,218687878,Escherichia coli ED1a,9
229,403507510,Nocardiopsis alba ATCC BAA-2165,9
230,145220606,Mycobacterium gilvum PYR-GCK,9
231,120552944,Marinobacter aquaeolei VT8,9
232,375264031,Vibrio sp. EJY3,9
233,187476514,Bordetella avium 197N,9
234,431795410,Echinicola vietnamensis DSM 17526,9
235,46562128,Desulfovibrio vulgaris str. Hildenborough,9
236,389839000,Cronobacter sakazakii ES15,9
237,17227497,Nostoc sp. PCC 7120,9
238,333891490,Alteromonas sp. SN2,9
239,58038491,Gluconobacter oxydans 621H,9
240,401761514,Enterobacter cloacae subsp. cloacae ENHKU01,9
241,224581838,Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594,9
242,386860126,Burkholderia pseudomallei 1026b,9
243,397655102,Klebsiella oxytoca E718,9
244,365968300,Enterobacter cloacae EcWSU1,9
245,146297766,Flavobacterium johnsoniae UW101,9
246,308066838,Paenibacillus polymyxa E681,9
247,258650271,Nakamurella multipartita DSM 44233,9
248,159035674,Salinispora arenicola CNS-205,9
249,378443454,Salmonella enterica subsp. enterica serovar Typhimurium str. D23580,9
250,205351346,Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91,9
251,294502110,Yersinia pestis Z176003,9
252,316931396,Rhodopseudomonas palustris DX-1,8
253,170746450,Methylobacterium radiotolerans JCM 2831,8
254,54021964,Nocardia farcinica IFM 10152,8
255,379706264,Nocardia cyriacigeorgica GUH-2,8
256,431799958,Pseudomonas putida HB3267,8
257,148262085,Geobacter uraniireducens Rf4,8
258,374333820,Oceanimonas sp. GK1,8
259,387504934,Escherichia coli O55:H7 str. RM12579,8
260,260866153,Escherichia coli O111:H- str. 11128,8
261,16120353,Yersinia pestis CO92,8
262,158520017,Desulfococcus oleovorans Hxd3,8
263,428216284,Pseudanabaena sp. PCC 7367,8
264,170022262,Yersinia pseudotuberculosis YPIII,8
265,294053541,Coraliomargarita akajimensis DSM 45221,8
266,120608714,Acidovorax citrulli AAC00-1,8
267,225862057,Bacillus cereus 03BB102,8
268,182411826,Opitutus terrae PB90-1,8
269,387619774,Escherichia coli DH1,8
270,50118965,Pectobacterium atrosepticum SCRI1043,8
271,428223461,Geitlerinema sp. PCC 7407,8
272,257054089,Saccharomonospora viridis DSM 43017,8
273,262200046,Gordonia bronchialis DSM 43247,8
274,126451443,Burkholderia pseudomallei 1106a,8
275,407685798,Alteromonas macleodii str. 'Balearic Sea AD45',8
276,315441696,Mycobacterium gilvum Spyr1,8
277,256419057,Chitinophaga pinensis DSM 2588,8
278,339501577,Roseobacter litoralis Och 149,8
279,340785197,Collimonas fungivorans Ter331,8
280,332304386,Glaciecola sp. 4H-3-7+YE-5,8
281,242277482,Desulfovibrio salexigens DSM 2638,8
282,339484941,Pseudomonas putida S16,8
283,53717639,Burkholderia pseudomallei K96243,8
284,407479587,Escherichia coli O104:H4 str. 2011C-3493,8
285,325961450,Arthrobacter phenanthrenivorans Sphe3,8
286,89898822,Albidiferax ferrireducens T118,8
287,409101470,,8
288,26245917,Escherichia coli CFT073,8
289,146305042,Pseudomonas mendocina ymp,8
290,387779217,Staphylococcus aureus subsp. aureus LGA251,8
291,258404138,Desulfohalobium retbaense DSM 5692,8
292,33594723,Bordetella parapertussis 12822,8
293,109896332,Pseudoalteromonas atlantica T6c,8
294,392413905,Mycobacterium chubuense NBB4,8
295,300021538,Hyphomicrobium denitrificans ATCC 51888,8
296,302381116,Brevundimonas subvibrioides ATCC 15264,8
297,190889639,Rhizobium etli CIAT 652,8
298,226309587,Brevibacillus brevis NBRC 100599,8
299,319951593,Cellulophaga algicola DSM 14237,8
300,126172257,Shewanella baltica OS155,8
301,258513366,Desulfotomaculum acetoxidans DSM 771,8
302,222523302,Chloroflexus sp. Y-400-fl,8
303,336246508,Enterobacter aerogenes KCTC 2190,8
304,227820587,Sinorhizobium fredii NGR234,8
305,148821191,Mycobacterium tuberculosis F11,8
306,404212629,Gordonia sp. KTR9,8
307,307128764,Dickeya dadantii 3937,8
308,170719187,Pseudomonas putida W619,8
309,296267998,Thermobispora bispora DSM 43833,8
310,163854304,Bordetella petrii DSM 12804,8
311,170679574,Escherichia coli SMS-3-5,8
312,91209055,Escherichia coli UTI89,8
313,158319059,Alkaliphilus oremlandii OhILAs,8
314,302341444,Desulfarculus baarsii DSM 2075,8
315,110632362,Chelativorans sp. BNC1,8
316,294675557,Rhodobacter capsulatus SB 1003,8
317,378697983,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,8
318,152983466,Pseudomonas aeruginosa PA7,8
319,118462219,Mycobacterium avium 104,8
320,378769743,Mycobacterium bovis BCG str. Mexico,8
321,171056692,Leptothrix cholodnii SP-6,8
322,76800655,Natronomonas pharaonis DSM 2160,8
323,386322495,Shewanella baltica BA175,8
324,162960844,Streptomyces avermitilis MA-4680 = NBRC 14893,8
325,188591847,Cupriavidus taiwanensis LMG 19424,8
326,308175814,Arthrobacter arilaitensis Re117,8
327,414075311,Anabaena sp. 90,8
328,206575712,Klebsiella pneumoniae 342,8
329,298290017,Starkeya novella DSM 506,8
330,163938013,Bacillus weihenstephanensis KBAB4,8
331,152994043,Marinomonas sp. MWYL1,8
332,218888746,Pseudomonas aeruginosa LESB58,8
333,300853232,Clostridium ljungdahlii DSM 13528,8
334,194447306,Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,8
335,392976867,Enterobacter cloacae subsp. dissolvens SDM,8
336,294496875,Bacillus megaterium QM B1551,8
337,311111670,Rothia dentocariosa ATCC 17931,8
338,119355857,Chlorobium phaeobacteroides DSM 266,8
339,374328350,Pseudovibrio sp. FO-BEG1,8
340,407719209,Sinorhizobium meliloti Rm41,8
341,29165615,Staphylococcus aureus subsp. aureus N315,8
342,426402010,Bdellovibrio bacteriovorus str. Tiberius,8
343,430741030,Singulisphaera acidiphila DSM 18658,8
344,110666976,Haloquadratum walsbyi DSM 16790,8
345,56475432,Aromatoleum aromaticum EbN1,8
346,163119169,Bacillus licheniformis DSM 13 = ATCC 14580,8
347,397685123,Pseudomonas stutzeri DSM 10701,8
348,386009639,Pseudomonas putida BIRD-1,8
349,386003090,,8
350,433771415,Mesorhizobium australicum WSM2073,8
351,158333233,Acaryochloris marina MBIC11017,8
352,117617447,Aeromonas hydrophila subsp. hydrophila ATCC 7966,8
353,260060589,Robiginitalea biformata HTCC2501,8
354,317120849,Thermaerobacter marianensis DSM 12885,8
355,375256816,Klebsiella oxytoca KCTC 1686,8
356,374313777,Serratia symbiotica str. 'Cinara cedri',7
357,386607309,Escherichia coli W,7
358,375356399,Bacteroides fragilis 638R,7
359,383789243,Spirochaeta africana DSM 8902,7
360,296500838,Bacillus thuringiensis BMB171,7
361,384425691,Xanthomonas campestris pv. raphani 756C,7
362,296134504,Thiomonas intermedia K12,7
363,289549371,Staphylococcus lugdunensis HKU09-01,7
364,386038690,Paenibacillus polymyxa M1,7
365,51243852,Desulfotalea psychrophila LSv54,7
366,386597751,Escherichia coli IHE3034,7
367,197116402,Geobacter bemidjiensis Bem,7
368,325295716,Cronobacter turicensis z3032,7
369,119943794,Psychromonas ingrahamii 37,7
370,389875858,Tistrella mobilis KA081020-065,7
371,383494824,Salmonella enterica subsp. enterica serovar Typhimurium str. 798,7
372,57865352,Staphylococcus epidermidis RP62A,7
373,374308961,Granulicella mallensis MP5ACTX8,7
374,162418099,Yersinia pestis Angola,7
375,167643973,Caulobacter sp. K31,7
376,50196905,Bacillus anthracis str. 'Ames Ancestor',7
377,386062973,Pseudomonas aeruginosa NCGM2.S1,7
378,302669374,Butyrivibrio proteoclasticus B316,7
379,375291975,Corynebacterium diphtheriae INCA 402,7
380,338529680,Myxococcus fulvus HW-1,7
381,16445223,Escherichia coli O157:H7 str. EDL933,7
382,90960985,Pelobacter carbinolicus DSM 2380,7
383,326314823,Acidovorax avenae subsp. avenae ATCC 19860,7
384,392408409,Desulfomonile tiedjei DSM 6799,7
385,333917679,Amycolicicoccus subflavus DQS3-9A1,7
386,260853213,Escherichia coli O26:H11 str. 11368,7
387,62178570,Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,7
388,384417079,Xanthomonas oryzae pv. oryzicola BLS256,7
389,289433373,Listeria seeligeri serovar 1/2b str. SLCC3954,7
390,209395693,Escherichia coli O157:H7 str. EC4115,7
391,238899406,Escherichia coli BW2952,7
392,385777386,Clostridium thermocellum DSM 1313,7
393,54295983,Legionella pneumophila str. Paris,7
394,33598993,Bordetella bronchiseptica RB50,7
395,300714588,Erwinia billingiae Eb661,7
396,110636427,Cytophaga hutchinsonii ATCC 33406,7
397,78060853,Burkholderia lata,7
398,387756560,Streptococcus pneumoniae OXC141,7
399,284027999,Kribbella flavida DSM 17836,7
400,31791177,Mycobacterium bovis AF2122/97,7
401,347534971,Flavobacterium branchiophilum FL-15,7
402,221232939,Caulobacter crescentus NA1000,7
403,414561716,Shewanella oneidensis MR-1,7
404,218437013,Cyanothece sp. PCC 7424,7
405,156740028,Roseiflexus castenholzii DSM 13941,7
406,386593590,Escherichia coli DH1,7
407,308171891,Bacillus amyloliquefaciens DSM 7,7
408,379009891,Acetobacterium woodii DSM 1030,7
409,407936729,Acidovorax sp. KKS102,7
410,156932229,Cronobacter sakazakii ATCC BAA-894,7
411,383187966,Rahnella aquatilis CIP 78.65 = ATCC 33071,7
412,15805042,Deinococcus radiodurans R1,7
413,161612313,Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7,7
414,384541581,Shigella flexneri 2002017,7
415,114568554,Maricaulis maris MCS10,7
416,30018278,Bacillus cereus ATCC 14579,7
417,385989534,Mycobacterium tuberculosis CCDC5180,7
418,30260195,Bacillus anthracis str. Ames,7
419,117923318,Magnetococcus marinus MC-1,7
420,325102757,Pedobacter saltans DSM 12145,7
421,387896523,Bacillus amyloliquefaciens Y2,7
422,284047386,Acidaminococcus fermentans DSM 20731,7
423,386348020,Rhodospirillum rubrum F11,7
424,158421624,Azorhizobium caulinodans ORS 571,7
425,332139403,Pantoea ananatis LMG 20103,7
426,387122089,Acinetobacter baumannii MDR-TJ,7
427,337739247,Oligotropha carboxidovorans OM5,7
428,397771790,Natrinema sp. J7-2,7
429,126455463,Burkholderia pseudomallei 1106a,7
430,75906225,Anabaena variabilis ATCC 29413,7
431,150387853,Alkaliphilus metalliredigens QYMF,7
432,408414082,Bordetella pertussis 18323,7
433,91774356,Methylobacillus flagellatus KT,7
434,390941666,Belliella baltica DSM 15883,7
435,433616933,,7
436,91781384,Burkholderia xenovorans LB400,7
437,56750010,Synechococcus elongatus PCC 6301,7
438,90019649,Saccharophagus degradans 2-40,7
439,317123177,Intrasporangium calvum DSM 43043,7
440,428303693,Crinalium epipsammum PCC 9333,7
441,383479207,Streptococcus pyogenes MGAS15252,7
442,430759339,Thioalkalivibrio nitratireducens DSM 14787,7
443,375137218,Mycobacterium rhodesiae NBB3,7
444,134297881,Desulfotomaculum reducens MI-1,7
445,253686409,Pectobacterium carotovorum subsp. carotovorum PC1,7
446,222053117,Geobacter daltonii FRC-32,7
447,312126262,Caldicellulosiruptor hydrothermalis 108,7
448,383760955,Caldilinea aerophila DSM 14535 = NBRC 104270,7
449,409101469,Dehalobacter sp. CF,7
450,78355047,Desulfovibrio alaskensis G20,7
451,387625543,Streptococcus pneumoniae INV104,7
452,110804074,Shigella flexneri 5 str. 8401,7
453,387149188,Staphylococcus aureus 04-02981,7
454,28896774,Vibrio parahaemolyticus RIMD 2210633,7
455,410470815,Bordetella parapertussis Bpp5,7
456,405751204,Listeria monocytogenes SLCC2378,7
457,433644871,Mycobacterium smegmatis JS623,7
458,350268398,Oscillibacter valericigenes Sjm18-20,7
459,116249766,Rhizobium leguminosarum bv. viciae 3841,7
460,333977506,Desulfotomaculum kuznetsovii DSM 6115,7
461,16329170,Synechocystis sp. PCC 6803,7
462,386733873,Bacillus anthracis str. H9401,7
463,257062754,Slackia heliotrinireducens DSM 20476,7
464,297564484,Meiothermus silvanus DSM 9946,7
465,218901206,Bacillus cereus AH820,7
466,344205421,Stenotrophomonas maltophilia JV3,7
467,218552585,Escherichia coli IAI1,7
468,386032579,Klebsiella pneumoniae KCTC 2242,7
469,158311867,Frankia sp. EAN1pec,7
470,343082721,Cyclobacterium marinum DSM 745,7
471,384055883,Acetobacter pasteurianus IFO 3283-22,7
472,337289620,Corynebacterium ulcerans BR-AD22,7
473,350264100,Bacillus subtilis subsp. spizizenii TU-B-10,7
474,118442852,Clostridium novyi NT,7
475,192358779,Cellvibrio japonicus Ueda107,7
476,296125058,Brachyspira murdochii DSM 12563,7
477,429503531,Bacillus amyloliquefaciens subsp. plantarum AS43.3,7
478,111219505,Frankia alni ACN14a,7
479,147676335,Pelotomaculum thermopropionicum SI,7
480,387128982,Methylophaga frappieri,7
481,399991233,Phaeobacter inhibens DSM 17395,7
482,145592566,Salinispora tropica CNB-440,7
483,313202490,Paludibacter propionicigenes WB4,7
484,384202563,Bordetella pertussis CS,7
485,333929848,Serratia plymuthica AS9,7
486,56459112,Idiomarina loihiensis L2TR,7
487,312193897,Frankia sp. EuI1c,7
488,116747452,Syntrophobacter fumaroxidans MPOB,7
489,384058524,Acetobacter pasteurianus IFO 3283-26,7
490,52140164,Bacillus cereus E33L,7
491,384868588,Staphylococcus aureus subsp. aureus T0131,7
492,189345558,Chlorobium limicola DSM 245,7
493,89052491,Jannaschia sp. CCS1,7
494,124265193,Methylibium petroleiphilum PM1,7
495,145297124,Aeromonas salmonicida subsp. salmonicida A449,7
496,170079663,Escherichia coli str. K-12 substr. DH10B,7
497,376259380,Clostridium sp. BNL1100,7
498,386863735,Burkholderia pseudomallei 1026b,6
499,344201337,Muricauda ruestringensis DSM 13258,6
500,386052273,Listeria monocytogenes Finland 1998,6
501,431925209,Pseudomonas stutzeri RCH2,6
502,241661625,Ralstonia pickettii 12D,6
503,186893344,Yersinia pseudotuberculosis PB1/+,6
504,147918682,Methanocella arvoryzae MRE50,6
505,154243958,Xanthobacter autotrophicus Py2,6
506,221229343,Mycobacterium leprae Br4923,6
507,92115633,Nitrobacter hamburgensis X14,6
508,409187965,Bacillus thuringiensis Bt407,6
509,389855709,Streptococcus suis ST1,6
510,239813019,Variovorax paradoxus S110,6
511,386048930,Listeria monocytogenes FSL R2-561,6
512,161501984,"Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980",6
513,414341023,Gluconobacter oxydans H24,6
514,407681909,Alteromonas macleodii str. 'English Channel 673',6
515,294083570,Candidatus Puniceispirillum marinum IMCC1322,6
516,227826411,Sulfolobus islandicus M.14.25,6
517,209917191,Escherichia coli SE11,6
518,153937894,Clostridium botulinum F str. Langeland,6
519,407934369,Propionibacterium acnes C1,6
520,255961475,Kineococcus radiotolerans SRS30216 = ATCC BAA-149,6
521,296120274,Planctomyces limnophilus DSM 3776,6
522,387873410,Mycobacterium sp. MOTT36Y,6
523,379699217,Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,6
524,334139601,Novosphingobium sp. PP1Y,6
525,333992987,Treponema azotonutricium ZAS-9,6
526,315497051,Asticcacaulis excentricus CB 48,6
527,433589359,Natrinema pellirubrum DSM 15624,6
528,282162670,Methanocella paludicola SANAE,6
529,428210537,Oscillatoria acuminata PCC 6304,6
530,386760820,Helicobacter cinaedi PAGU611,6
531,410859653,Alteromonas macleodii AltDE1,6
532,75674199,Nitrobacter winogradskyi Nb-255,6
533,150002608,Bacteroides vulgatus ATCC 8482,6
534,345301888,Rhodothermus marinus SG0.5JP17-172,6
535,23097455,Oceanobacillus iheyensis HTE831,6
536,50953925,Leifsonia xyli subsp. xyli str. CTCB07,6
537,386018640,Pseudomonas stutzeri DSM 4166,6
538,159162017,Lactobacillus acidophilus NCFM,6
539,376247367,Corynebacterium diphtheriae HC04,6
540,321311376,Bacillus subtilis BSn5,6
541,386000717,Methanosaeta harundinacea 6Ac,6
542,261417500,Geobacillus sp. Y412MC61,6
543,28197945,Xylella fastidiosa Temecula1,6
544,297543498,Thermoanaerobacter mathranii subsp. mathranii str. A3,6
545,78064658,Burkholderia lata,6
546,378958130,Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12,6
547,390945347,Alistipes finegoldii DSM 17242,6
